epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,28533.1,0.76997,0.52559,0.91739,0.93831,0.89539,0.95088,0.73998,0.77047,0.49095,0.91648,7.176e-05,7.176e-05,7.176e-05
42,29174.6,0.76207,0.50849,0.91345,0.93774,0.90594,0.95273,0.74514,0.76736,0.48646,0.91495,6.4929e-05,6.4929e-05,6.4929e-05
43,29812.8,0.75779,0.49729,0.91219,0.93413,0.91024,0.95336,0.74677,0.76613,0.4807,0.91294,5.8098e-05,5.8098e-05,5.8098e-05
44,30448.9,0.75278,0.49484,0.90852,0.86676,0.96665,0.95184,0.74171,0.76785,0.48059,0.91372,5.1267e-05,5.1267e-05,5.1267e-05
45,31089.8,0.75402,0.49129,0.91029,0.86617,0.96721,0.95167,0.74222,0.76627,0.47802,0.91358,4.4436e-05,4.4436e-05,4.4436e-05
46,31741.7,0.74842,0.48485,0.90837,0.88448,0.96634,0.95245,0.74493,0.7639,0.47591,0.91221,3.7605e-05,3.7605e-05,3.7605e-05
47,32390.4,0.75052,0.48715,0.90806,0.87366,0.9673,0.95316,0.74499,0.76481,0.47727,0.91253,3.0774e-05,3.0774e-05,3.0774e-05
48,33659.9,0.74824,0.48541,0.9069,0.87987,0.96659,0.95357,0.74261,0.76485,0.47446,0.91188,2.3943e-05,2.3943e-05,2.3943e-05
49,35693.2,0.74914,0.48488,0.90757,0.88046,0.96642,0.95341,0.74515,0.76392,0.47316,0.91284,1.7112e-05,1.7112e-05,1.7112e-05
50,36339.6,0.74573,0.48127,0.90769,0.87628,0.96643,0.95332,0.74493,0.76359,0.47405,0.91252,1.0281e-05,1.0281e-05,1.0281e-05
